"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Enterprise APIs","0","Enterprise Analytics Controller","5","0","Enterprise report analytics","0"
"0","Authentication","0","Auth Service","10","0","Registration role validation, login edge cases, inactive user handling","0"
"0","Domain Model","0","User Entity","13","0","User lifecycle: creation, activation, role, profile","0"
"0","Domain Model","0","Waste Report State Machine","17","0","WasteReport state transition matrix coverage","0"
"0","Admin APIs","0","Admin Users Controller","9","0","User management: list, create, toggle status, update role","0"
"0","Rewards Module","0","Reward Points Handlers","6","0","Reward points creation and leaderboard queries","0"
"0","Admin APIs","0","Admin Complaints Controller","11","0","Admin complaint management: list, detail, resolve, reject","0"
"0","Health Check","0","Health Controller","2","0","Health check endpoint","0"
"0","Infrastructure","0","DateTime UTC Converter","9","0","UTC DateTime serialization for consistent timezone handling","0"
"0","Complaint APIs","0","Complaints Controller","9","0","Create, list, view, and escalate complaints","0"
"0","Domain Model","0","Complaint Entity","12","0","Complaint lifecycle: create, assign, resolve, reject, escalate","0"
"0","Admin APIs","0","Admin Enterprise Controller","10","0","Enterprise management: list, detail, verify, reject","0"
"0","Citizen APIs","0","Citizen Controller","14","0","Citizen rewards, leaderboard, and profile management","0"
"0","Public APIs","0","Public Analytics Controller","4","0","Public waste report analytics","0"
